FCdate,step,lat,lon,STAT_ID,VT,OBS,CNTRLFC_ECMWF,M1_ECMWF,M2_ECMWF,M3_ECMWF,M4_ECMWF,M5_ECMWF,M6_ECMWF,M7_ECMWF,M8_ECMWF,M9_ECMWF,M10_ECMWF,M11_ECMWF,M12_ECMWF,M13_ECMWF,M14_ECMWF,M15_ECMWF,M16_ECMWF,M17_ECMWF,M18_ECMWF,M19_ECMWF,M20_ECMWF,M21_ECMWF,M22_ECMWF,M23_ECMWF,CNTRLFC_UKMet,M1_UKMet,M2_UKMet,M3_UKMet,M4_UKMet,M5_UKMet,M6_UKMet,M7_UKMet,M8_UKMet,M9_UKMet,M10_UKMet,M11_UKMet,M12_UKMet,M13_UKMet,M14_UKMet,M15_UKMet,M16_UKMet,M17_UKMet,M18_UKMet,M19_UKMet,M20_UKMet,M21_UKMet,M22_UKMet,M23_UKMet
2010090112,144,-1.13,35.83,63737,20100907,0.0,0.0,1.24,6.44,1.94,2.61,0.0,0.09,2.27,0.05,0.02,0.37,0.36,2.5,7.91,0.04,0.04,5.44,0.0,0.14,0.36,2.88,0.71,3.23,0.13,0.0,1.24,6.44,1.94,2.61,0.0,0.09,2.27,0.05,0.02,0.37,0.36,2.5,7.91,0.04,0.04,5.44,0.0,0.14,0.36,2.88,0.71,3.23,0.13
2010090112,144,-1.3,36.75,63741,20100907,0.0,0.0,0.41,2.28,0.0,0.16,0.0,0.09,1.12,0.08,0.0,0.0,0.0,0.08,0.8,0.19,0.0,0.84,0.01,0.0,0.26,0.02,0.0,1.5,0.04,0.0,0.41,2.28,0.0,0.16,0.0,0.09,1.12,0.08,0.0,0.0,0.0,0.08,0.8,0.19,0.0,0.84,0.01,0.0,0.26,0.02,0.0,1.5,0.04
2010090112,144,-1.32,36.82,63742,20100907,0.0,0.0,0.41,2.28,0.0,0.16,0.0,0.09,1.12,0.08,0.0,0.0,0.0,0.08,0.8,0.19,0.0,0.84,0.01,0.0,0.26,0.02,0.0,1.5,0.04,0.0,0.41,2.28,0.0,0.16,0.0,0.09,1.12,0.08,0.0,0.0,0.0,0.08,0.8,0.19,0.0,0.84,0.01,0.0,0.26,0.02,0.0,1.5,0.04
2010090112,144,-2.27,40.9,63772,20100907,0.0,0.0,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.33,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.33,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0
2010090112,144,-3.4,38.57,63793,20100907,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.11,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.11,0.0
2010090112,144,-3.23,40.1,63799,20100907,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.23,0.0,0.12,0.0,0.0,0.01,0.19,0.0,1.7,0.0,0.02,0.0,0.0,0.22,0.0,0.39,0.4,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.23,0.0,0.12,0.0,0.0,0.01,0.19,0.0,1.7,0.0,0.02,0.0,0.0,0.22,0.0,0.39,0.4,0.0
2010090212,144,3.12,35.62,63612,20100908,0.0,0.25,1.95,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.25,1.95,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
2010090212,144,3.53,39.03,63619,20100908,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010090212,144,3.93,41.87,63624,20100908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010090212,144,1.02,35.0,63661,20100908,1.0,2.88,13.66,14.92,9.0,7.64,4.43,9.23,7.17,13.28,18.04,6.16,7.54,10.72,13.5,4.85,6.26,9.46,7.04,8.22,4.33,4.23,5.29,12.63,5.19,2.88,13.66,14.92,9.0,7.64,4.43,9.23,7.17,13.28,18.04,6.16,7.54,10.72,13.5,4.85,6.26,9.46,7.04,8.22,4.33,4.23,5.29,12.63,5.19
2010090212,144,1.75,40.07,63671,20100908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010090212,144,0.53,35.28,63686,20100908,0.0,13.73,8.69,13.87,6.25,1.8,6.15,6.45,7.48,5.37,15.75,4.22,10.12,8.92,9.44,9.25,8.93,13.95,7.85,6.29,4.47,7.39,4.81,8.13,5.48,13.73,8.69,13.87,6.25,1.8,6.15,6.45,7.48,5.37,15.75,4.22,10.12,8.92,9.44,9.25,8.93,13.95,7.85,6.29,4.47,7.39,4.81,8.13,5.48
2010090212,144,0.28,34.78,63687,20100908,11.0,20.66,8.69,13.87,6.25,1.8,6.15,6.45,7.48,5.37,15.75,4.22,10.12,8.92,9.44,9.25,8.93,13.95,7.85,6.29,4.47,7.39,4.81,8.13,5.48,20.66,8.69,13.87,6.25,1.8,6.15,6.45,7.48,5.37,15.75,4.22,10.12,8.92,9.44,9.25,8.93,13.95,7.85,6.29,4.47,7.39,4.81,8.13,5.48
2010090212,144,0.4,35.23,63688,20100908,1.0,13.73,8.69,13.87,6.25,1.8,6.15,6.45,7.48,5.37,15.75,4.22,10.12,8.92,9.44,9.25,8.93,13.95,7.85,6.29,4.47,7.39,4.81,8.13,5.48,13.73,8.69,13.87,6.25,1.8,6.15,6.45,7.48,5.37,15.75,4.22,10.12,8.92,9.44,9.25,8.93,13.95,7.85,6.29,4.47,7.39,4.81,8.13,5.48
2010090212,144,-0.37,35.35,63710,20100908,7.0,7.2,8.51,20.82,2.75,2.65,8.77,3.87,11.15,4.78,16.54,12.86,11.63,12.76,11.27,10.76,19.52,12.07,23.15,10.38,11.02,8.29,3.97,6.11,5.18,7.2,8.51,20.82,2.75,2.65,8.77,3.87,11.15,4.78,16.54,12.86,11.63,12.76,11.27,10.76,19.52,12.07,23.15,10.38,11.02,8.29,3.97,6.11,5.18
2010090212,144,-0.27,36.1,63714,20100908,0.0,1.32,11.27,19.94,6.81,9.45,4.04,12.13,6.81,8.91,15.66,10.28,10.7,11.05,11.92,10.38,15.76,9.59,14.95,13.49,3.61,7.95,7.41,10.27,3.85,1.32,11.27,19.94,6.81,9.45,4.04,12.13,6.81,8.91,15.66,10.28,10.7,11.05,11.92,10.38,15.76,9.59,14.95,13.49,3.61,7.95,7.41,10.27,3.85
2010090212,144,-0.5,37.45,63720,20100908,0.0,0.0,0.0,3.52,0.0,0.0,0.0,0.27,0.0,0.18,0.07,0.0,0.26,0.0,0.0,0.14,0.01,0.12,0.0,0.27,0.0,0.3,0.0,0.21,0.0,0.0,0.0,3.52,0.0,0.0,0.0,0.27,0.0,0.18,0.07,0.0,0.26,0.0,0.0,0.14,0.01,0.12,0.0,0.27,0.0,0.3,0.0,0.21,0.0
2010090212,144,-0.47,39.63,63723,20100908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010090212,144,-1.5,33.8,63733,20100908,0.0,0.13,8.64,9.62,6.7,2.94,7.55,3.33,20.77,5.84,4.6,3.36,10.73,5.49,9.71,11.29,9.48,8.22,6.35,7.36,12.87,9.08,0.02,9.74,5.61,0.13,8.64,9.62,6.7,2.94,7.55,3.33,20.77,5.84,4.6,3.36,10.73,5.49,9.71,11.29,9.48,8.22,6.35,7.36,12.87,9.08,0.02,9.74,5.61
2010090212,144,-1.13,35.83,63737,20100908,0.0,0.08,14.21,9.9,1.47,3.85,0.66,17.44,5.18,4.94,0.89,2.88,2.84,1.11,8.84,5.71,7.99,2.2,1.93,7.82,0.27,5.42,0.31,27.19,6.03,0.08,14.21,9.9,1.47,3.85,0.66,17.44,5.18,4.94,0.89,2.88,2.84,1.11,8.84,5.71,7.99,2.2,1.93,7.82,0.27,5.42,0.31,27.19,6.03
2010090212,144,-1.3,36.75,63741,20100908,0.0,0.25,2.93,5.68,0.26,1.2,0.03,2.24,1.46,2.87,0.02,0.04,1.34,0.13,0.55,0.27,0.18,0.03,0.32,0.82,1.42,2.7,0.08,1.56,0.98,0.25,2.93,5.68,0.26,1.2,0.03,2.24,1.46,2.87,0.02,0.04,1.34,0.13,0.55,0.27,0.18,0.03,0.32,0.82,1.42,2.7,0.08,1.56,0.98
2010090212,144,-1.32,36.82,63742,20100908,0.0,0.25,2.93,5.68,0.26,1.2,0.03,2.24,1.46,2.87,0.02,0.04,1.34,0.13,0.55,0.27,0.18,0.03,0.32,0.82,1.42,2.7,0.08,1.56,0.98,0.25,2.93,5.68,0.26,1.2,0.03,2.24,1.46,2.87,0.02,0.04,1.34,0.13,0.55,0.27,0.18,0.03,0.32,0.82,1.42,2.7,0.08,1.56,0.98
2010090212,144,-2.47,32.92,63756,20100908,0.0,3.27,10.43,8.32,9.57,3.28,6.07,4.35,18.52,6.33,4.92,6.68,20.26,3.62,15.33,10.64,11.84,7.06,4.63,7.26,9.07,7.96,2.47,10.59,5.53,3.27,10.43,8.32,9.57,3.28,6.07,4.35,18.52,6.33,4.92,6.68,20.26,3.62,15.33,10.64,11.84,7.06,4.63,7.26,9.07,7.96,2.47,10.59,5.53
2010090212,144,-2.28,37.83,63766,20100908,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.0,0.0,0.0,0.0,0.01,0.01,0.0
2010090212,144,-2.27,40.9,63772,20100908,0.0,0.25,0.0,0.0,0.0,1.21,0.08,0.01,0.0,0.89,0.0,0.06,0.11,0.0,0.0,0.0,0.0,0.18,0.08,0.0,0.0,0.21,0.0,0.0,0.75,0.25,0.0,0.0,0.0,1.21,0.08,0.01,0.0,0.89,0.0,0.06,0.11,0.0,0.0,0.0,0.0,0.18,0.08,0.0,0.0,0.21,0.0,0.0,0.75
2010090212,144,-3.42,37.07,63791,20100908,0.0,0.0,0.0,0.34,0.03,0.59,0.0,0.02,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.84,0.57,0.0,0.0,0.34,0.03,0.59,0.0,0.02,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.84,0.57
2010090212,144,-3.4,38.57,63793,20100908,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
2010090212,144,-3.23,40.1,63799,20100908,0.0,0.61,0.0,0.0,0.0,0.11,0.0,0.01,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.23,0.0,0.01,0.0,0.61,0.0,0.0,0.0,0.11,0.0,0.01,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.23,0.0,0.01,0.0
2010090212,144,-4.88,29.63,63801,20100908,0.0,0.01,0.0,0.01,1.31,0.0,1.21,0.13,2.1,0.02,0.0,0.25,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.11,0.01,0.0,0.0,0.0,0.01,0.0,0.01,1.31,0.0,1.21,0.13,2.1,0.02,0.0,0.25,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.11,0.01,0.0,0.0,0.0
2010090212,144,-4.03,39.62,63820,20100908,0.0,0.09,0.0,0.08,0.25,0.9,0.18,0.69,0.35,0.08,0.03,0.05,0.21,0.01,0.08,0.32,0.27,0.01,0.08,0.01,0.14,0.31,0.03,0.0,0.0,0.09,0.0,0.08,0.25,0.9,0.18,0.69,0.35,0.08,0.03,0.05,0.21,0.01,0.08,0.32,0.27,0.01,0.08,0.01,0.14,0.31,0.03,0.0,0.0
2010090212,144,-5.08,32.83,63832,20100908,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.01,0.0,0.0,0.0
2010090212,144,-6.17,35.77,63862,20100908,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010090212,144,-7.97,31.63,63881,20100908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010090212,144,-7.67,35.75,63887,20100908,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
2010090212,144,-6.87,39.2,63894,20100908,0.0,0.0,0.08,0.01,0.15,0.02,0.17,0.02,0.0,0.0,0.0,0.02,0.01,0.01,0.01,0.08,0.02,0.06,0.0,0.0,0.02,0.05,0.0,0.01,0.23,0.0,0.08,0.01,0.15,0.02,0.17,0.02,0.0,0.0,0.0,0.02,0.01,0.01,0.01,0.08,0.02,0.06,0.0,0.0,0.02,0.05,0.0,0.01,0.23
